CIK,start_date,start_price,six_month_price,three_year_price,return_6m,return_3y,random_predict,lgbm_predict,nn_predict,random_desired_invest,random_actual_invest,random_profit_this_ipo,random_cumulative_profit,random_capital_after_ipo,lgbm_desired_invest,lgbm_actual_invest,lgbm_profit_this_ipo,lgbm_cumulative_profit,lgbm_capital_after_ipo,nn_desired_invest,nn_actual_invest,nn_profit_this_ipo,nn_cumulative_profit,nn_capital_after_ipo,lgbm_prob_6m,lgbm_prob_3y,nn_prob_6m,nn_prob_3y,true_6m,true_3y
1837430,2021-01-15,11.7600,8.7200,2.7400,-0.2585,-0.7670,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,26155.3115,126155.3115,0.0000,0.0000,0.0000,23566.8492,123566.8492,0.4518,0.0282,0.4820,0.2541,0,0
1346526,2015-04-23,6.4800,1.8200,1.0800,-0.7191,-0.8333,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,26155.3115,126155.3115,100.0000,100.0000,-71.9136,23494.9356,123494.9356,0.4424,0.0183,0.5194,0.3535,0,0
1826492,2021-01-08,25.0600,11.1500,10.0100,-0.5551,-0.6006,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,26155.3115,126155.3115,0.0000,0.0000,0.0000,23494.9356,123494.9356,0.0266,0.0022,0.4800,0.2193,0,0
1819493,2020-12-07,2.3200,1.3300,0.0300,-0.4267,-0.9871,6M:0 3Y:0,6M:0 3Y:0,6M:1 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,0.0000,0.0000,0.0000,26155.3115,126155.3115,100.0000,100.0000,-42.6724,23452.2632,123452.2632,0.1507,0.0595,0.5161,0.3961,0,0
1490978,2020-02-06,28.6400,72.6100,26.1300,1.5353,-0.0876,6M:0 3Y:0,6M:1 3Y:1,6M:0 3Y:0,0.0000,0.0000,0.0000,4447.2706,104447.2706,200.0000,200.0000,144.7626,26300.0740,126300.0740,0.0000,0.0000,0.0000,23452.2632,123452.2632,0.8439,0.5661,0.4757,0.2572,1,1
883948,2020-06-03,18.0800,20.0200,18.2700,0.1073,0.0105,6M:1 3Y:0,6M:1 3Y:0,6M:1 3Y:0,100.0000,100.0000,10.7301,4458.0007,104458.0007,100.0000,100.0000,10.7301,26310.8041,126310.8041,100.0000,100.0000,10.7301,23462.9933,123462.9933,0.9565,0.0090,0.5095,0.2454,1,0
1823634,2021-02-01,10.3200,9.7000,10.1800,-0.0601,-0.0136,6M:0 3Y:1,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-1.3566,4456.6441,104456.6441,0.0000,0.0000,0.0000,26310.8041,126310.8041,0.0000,0.0000,0.0000,23462.9933,123462.9933,0.0035,0.0005,0.4607,0.2364,0,0
1962481,2023-06-15,6.0000,1.3700,1.9100,-0.7717,-0.6817,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-77.1667,4379.4775,104379.4775,0.0000,0.0000,0.0000,26310.8041,126310.8041,0.0000,0.0000,0.0000,23462.9933,123462.9933,0.0373,0.0527,0.4970,0.3332,0,0
1819810,2021-01-14,10.4100,10.2500,2.8900,-0.0154,-0.7224,6M:0 3Y:0,6M:0 3Y:0,6M:0 3Y:0,0.0000,0.0000,0.0000,4379.4775,104379.4775,0.0000,0.0000,0.0000,26310.8041,126310.8041,0.0000,0.0000,0.0000,23462.9933,123462.9933,0.0717,0.0575,0.4920,0.2671,0,0
1943896,2024-04-24,32.0000,38.5200,69.8400,0.2038,1.1825,6M:0 3Y:0,6M:1 3Y:1,6M:0 3Y:1,0.0000,0.0000,0.0000,4379.4775,104379.4775,200.0000,200.0000,138.6250,26449.4291,126449.4291,100.0000,100.0000,118.2500,23581.2433,123581.2433,0.5843,0.9557,0.4701,0.6889,1,1
1830197,2021-01-29,10.6100,4.5800,2.3200,-0.5683,-0.7813,6M:1 3Y:0,6M:0 3Y:0,6M:0 3Y:0,100.0000,100.0000,-56.8332,4322.6443,104322.6443,0.0000,0.0000,0.0000,26449.4291,126449.4291,0.0000,0.0000,0.0000,23581.2433,123581.2433,0.1743,0.0808,0.4926,0.3295,0,0
